PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: Resem6
Data type: Similarity
Selection: All
Resemblance: S17 Bray-Curtis similarity (+d)

Group factor: site_depth
Number of permutations: 9999

Number of groups: 23
Number of samples: 69

DEVIATIONS FROM CENTROID
F: 3.9295  df1: 22  df2: 46
P(perm): 0.0963

PAIRWISE COMPARISONS
Groups	        t	P(perm)				
(MI_D,SN_D)	  0.20891	      1				
(MI_D,SN_S)	   3.7769	 0.1032				
(MI_D,YO_D)	   3.3376	 0.1053				
(MI_D,YO_S)	   13.263	 0.1041				
(MI_D,ZA_D)	  0.36212	      1				
(MI_D,ZA_S)	  0.23762	      1				
(MI_D,ZP_D)	   11.953	    0.1				
(MI_D,ZP_S)	  0.48179	 0.7977				
(MI_S,S1_D)	  0.75012	  0.305				
(MI_S,S1_S)	  0.82253	 0.5019				
(MI_S,S2_D)	   1.1883	 0.3992				
(MI_S,S2_S)	   1.1409	 0.5014				
(MI_S,SK_S)	 0.080517	      1				
(MI_S,SN_D)	   4.7257	 0.1005				
(MI_S,SN_S)	  0.62411	  0.794				
(MI_S,YO_D)	   7.8681	 0.1051				
(MI_S,YO_S)	   1.7677	 0.2031				
(MI_S,ZA_D)	    3.611	  0.097				
(MI_S,ZA_S)	   2.8957	 0.0962				
(MI_S,ZP_D)	  0.82654	 0.3908				
(MI_S,ZP_S)	   3.9366	 0.1016				
(S1_D,S1_S)	   1.1926	  0.497				
(S1_D,S2_D)	   1.2736	 0.4007				
(S1_D,S2_S)	   1.8079	 0.1024				
(S1_D,SK_S)	  0.37602	      1				
(S1_D,SN_D)	   5.0968	 0.0993				
(S1_D,SN_S)	  0.95971	  0.601				
(S1_D,YO_D)	   9.0253	 0.1018				
(S1_D,YO_S)	    0.978	 0.4013				
(S1_D,ZA_D)	   3.8682	 0.1064				
(S1_D,ZA_S)	   3.1028	 0.1046				
(S1_D,ZP_D)	 0.024972	 0.8969				
(S1_D,ZP_S)	   4.2941	    0.1				
(S1_S,S2_D)	  0.97551	  0.495				
(S1_S,S2_S)	  0.16055	 0.9006				
(S1_S,SK_S)	  0.47978	 0.6989				
(S1_S,SN_D)	   3.0586	 0.0959				
(S1_S,SN_S)	 0.098798	  0.803				
(S1_S,YO_D)	   2.6704	 0.1006				
(S1_S,YO_S)	   1.6439	 0.4017				
(S1_S,ZA_D)	   2.6321	 0.1954				
(S1_S,ZA_S)	   2.1986	 0.2032				
(S1_S,ZP_D)	   1.2219	 0.4997				
(S1_S,ZP_S)	   2.4841	 0.0986				
(S2_D,S2_S)	   1.0323	 0.4014				
(S2_D,SK_S)	   1.1263	 0.4953				
(S2_D,SN_D)	 0.012132	      1				
(S2_D,SN_S)	   1.0019	 0.4942				
(S2_D,YO_D)	   0.3887	 0.8974				
(S2_D,YO_S)	   1.3724	 0.3891				
(S2_D,ZA_D)	 0.057769	      1				
(S2_D,ZA_S)	 0.033537	      1				
(S2_D,ZP_D)	   1.2772	 0.3991				
(S2_D,ZP_S)	  0.18124	 0.9031				
(S2_S,SK_S)	  0.43931	 0.8056				
(S2_S,SN_D)	   3.9639	 0.1019				
(S2_S,SN_S)	 0.025536	      1				
(S2_S,YO_D)	   5.2904	 0.1005				
(S2_S,YO_S)	   2.7222	  0.103				
(S2_S,ZA_D)	   3.1079	 0.1008				
(S2_S,ZA_S)	   2.5006	 0.1019				
(S2_S,ZP_D)	   1.9185	 0.1024				
(S2_S,ZP_S)	   3.2212	 0.1059				
(SK_S,SN_D)	   3.1746	 0.0976				
(SK_S,SN_S)	  0.37192	 0.6985				
(SK_S,YO_D)	   2.7426	  0.104				
(SK_S,YO_S)	  0.72387	 0.6908				
(SK_S,ZA_D)	   2.8155	 0.0988				
(SK_S,ZA_S)	   2.4086	 0.1022				
(SK_S,ZP_D)	  0.38871	 0.5988				
(SK_S,ZP_S)	   2.6675	 0.0984				
(SN_D,SN_S)	    3.002	 0.1016				
(SN_D,YO_D)	   1.5502	  0.102				
(SN_D,YO_S)	   5.5909	 0.1011				
(SN_D,ZA_D)	  0.17853	 0.8092				
(SN_D,ZA_S)	  0.10201	      1				
(SN_D,ZP_D)	   5.1759	 0.1009				
(SN_D,ZP_S)	  0.51536	 0.5969				
(SN_S,YO_D)	    2.552	 0.1025				
(SN_S,YO_S)	   1.3633	 0.2937				
(SN_S,ZA_D)	   2.6238	 0.1974				
(SN_S,ZA_S)	   2.2125	 0.2048				
(SN_S,ZP_D)	  0.98191	 0.3981				
(SN_S,ZP_S)	    2.458	 0.0985				
(YO_D,YO_S)	   11.397	 0.0998				
(YO_D,ZA_D)	   1.3153	 0.4046				
(YO_D,ZA_S)	   1.0124	 0.5959				
(YO_D,ZP_D)	   9.9224	 0.1014				
(YO_D,ZP_S)	   0.8145	 0.4114				
(YO_S,ZA_D)	    4.189	 0.0998				
(YO_S,ZA_S)	    3.354	 0.0971				
(YO_S,ZP_D)	    1.041	 0.1994				
(YO_S,ZP_S)	   4.7601	 0.1006				
(ZA_D,ZA_S)	 0.046001	      1				
(ZA_D,ZP_D)	   3.9022	 0.1049				
(ZA_D,ZP_S)	   0.5964	 0.7037				
(ZA_S,ZP_D)	    3.123	 0.1027				
(ZA_S,ZP_S)	  0.46286	 0.9004				
(ZP_D,ZP_S)	   4.3594	 0.1011				

MEANS AND STANDARD ERRORS
Group	Size	Average	     SE
AW_D	   3	 14.948	 2.2178
AW_S	   3	 16.415	 2.6782
G1_D	   3	 31.287	 8.6265
G1_S	   3	 5.4593	 1.0907
G2_D	   3	 16.392	 3.4234
G2_S	   3	 8.3559	 2.3355
HI_D	   3	 16.799	  2.328
HI_S	   3	 12.025	 2.5086
MI_D	   3	 15.362	0.61026
MI_S	   3	 6.3917	0.65628
S1_D	   3	 5.7144	0.62006
S1_S	   3	 7.9297	  1.751
S2_D	   3	 15.872	 7.9516
S2_S	   3	 7.6172	0.85041
SK_S	   3	 6.5772	 2.2093
SN_D	   3	 15.773	 1.8736
SN_S	   3	 7.6713	 1.9425
YO_D	   3	 12.776	0.47719
YO_S	   3	 4.9383	0.49519
ZA_D	   3	 16.357	 2.6805
ZA_S	   3	 16.161	 3.3093
ZP_D	   3	  5.694	0.53077
ZP_S	   3	  14.39	 1.9228

